x,Curve1
17.64,3.568
24.58,6.3
31.53,9.032
37.42,11.787
42.34,14.562
47.19,17.338
51.74,20.119
56.28,22.9
61.73,25.665
67.64,28.421
75.06,31.139
83.07,33.843
90.85,36.554
97.8,39.286
104.75,42.018
112.38,44.733
120.58,47.431
129.63,50.103
138.67,52.775
147.98,55.438
157.37,58.099
166.97,60.752
177,63.389
187.04,66.027
197.51,68.647
208.12,71.263
218.73,73.878
229.34,76.493
239.95,79.109
250.11,81.741
259.5,84.401
268.89,87.062
277.95,89.733
287,92.405
295.32,95.099
302.61,97.823
310.22,100.538
318.23,103.242
326.25,105.946
347.37,107.799
369.25,109.603
394.96,110.524
423.2,110.861
451.45,111.18
479.87,111.299
508.28,111.418
536.7,111.537
565.11,111.656
593.51,111.805
621.86,112.032
650.21,112.258
678.61,112.401
707.03,112.52
735.41,112.683
763.76,112.918
792.1,113.154
820.44,113.399
848.77,113.645
877.14,113.835
905.54,113.996
933.93,114.157
962.33,114.318
990.72,114.479
1019.13,114.585
1047.57,114.587
1076.01,114.588
1104.37,114.78
1132.72,115.006
1161.09,115.195
1189.51,115.309
1217.93,115.423
1218.86,113.121
1214.34,110.34
1209.82,107.558
1205.3,104.777
1205.13,104.086
1212.07,106.819
1219.02,109.551
1213.84,107.325
1207.4,104.581
1200.95,101.836
1194.51,99.092
1188.49,96.338
1182.52,93.583
1176.41,90.832
1170.15,88.083
1163.89,85.335
1157.63,82.586
1150.35,79.863
1142.42,77.157
1134.49,74.45
1127.76,71.713
1121.16,68.972
1114.56,66.231
1107.96,63.49
1101.36,60.749
1094.73,58.009
1088.11,55.269
1081.48,52.529
1074.85,49.789
1068.22,47.049
1061.59,44.308
1053.61,41.604
1045.39,38.906
1037.16,36.208
1028.94,33.511
1020.1,30.837
1007.82,28.293
995.73,25.742
985.47,23.113
975.21,20.484
965.61,17.831
955.82,15.186
943.35,12.653
930.54,10.135
917.6,7.625
905.63,5.067
894.05,2.493
883.02,-0.105
871.5,-2.683
859.87,-5.256
848.31,-7.831
836.75,-10.407
825.46,-12.994
814.61,-15.6
803.76,-18.206
792.47,-20.79
778.39,-23.24
763.1,-25.613
746.31,-27.891
729.26,-30.147
711.05,-32.315
693.11,-34.504
675.43,-36.714
657.06,-38.865
637.34,-40.899
617.2,-42.891
596.06,-44.773
573.69,-46.517
553.36,-48.485
533.48,-50.503
513.33,-52.495
491.08,-54.253
468.58,-55.981
445.74,-57.664
422.9,-59.347
400.06,-61.03
377.21,-62.713
353.04,-64.197
328.58,-65.64
304.12,-67.082
279.66,-68.525
255.17,-69.962
230.67,-71.398
205.65,-72.737
180,-73.959
154.41,-75.193
129.16,-76.494
103.9,-77.795
77.9,-78.94
51.83,-80.073
26.58,-81.36
2.29,-82.83
-23.15,-84.089
-49.13,-85.236
-75.68,-86.252
-102.2,-87.275
-128.69,-88.306
-155.16,-89.342
-181.09,-90.504
-207.08,-91.653
-227.16,-93.338
-243.47,-95.628
-265.42,-97.414
-291.99,-98.134
-320.27,-98.438
-348.54,-98.743
-376.92,-98.926
-405.32,-99.072
-433.72,-99.217
-462.12,-99.363
-490.53,-99.508
-518.93,-99.654
-547.33,-99.799
-575.74,-99.945
-604.14,-100.09
-632.54,-100.236
-660.94,-100.381
-689.35,-100.527
-717.75,-100.672
-746.15,-100.818
-774.56,-100.963
-802.96,-101.109
-831.36,-101.254
-859.76,-101.4
-888.17,-101.545
-916.57,-101.691
-944.97,-101.836
-973.39,-101.949
-1001.81,-102.044
-1016.46,-100.986
-1010.78,-98.225
-1005.09,-95.464
-1000.66,-92.683
-996.64,-89.894
-990.7,-87.14
-984.23,-84.396
-976.79,-81.68
-967.5,-79.016
-959.3,-76.319
-951.12,-73.623
-939.69,-71.042
-928,-68.473
-915.3,-65.95
-902.61,-63.427
-888.93,-60.955
-874.98,-58.498
-861.03,-56.04
-846.94,-53.59
-832.82,-51.143
-818.7,-48.695
-804.58,-46.247
-790.45,-43.799
-776.33,-41.352
-762.21,-38.904
-748.08,-36.456
-733.96,-34.008
-719.84,-31.561
-705.71,-29.113
-691.49,-26.671
-677.04,-24.242
